profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	bodenart	humus_klasse	skelett_klasse	dichte_klasse	gefuege1	gefuege1_anteil
1_U	Ahb	6	3.9	12	212	40	499	20	299	70
1_U	BvCv1	46	3.8	12	212	0	499	60	399	50
1_U	BvCv2	60	4.2	12	212	0	499	60	399	50
